q,max_angle_error_deg,mean_angle_error_deg,sigma_q_over_sigma_1,node_modulus_min,node_modulus_max
59,8.526512829121202e-14,2.5516312226978175e-14,0.636252886776948,0.9999999999999979,1.0000000000000024
61,1.1368683772161603e-13,3.3634297532906383e-14,0.6323735453202528,0.9999999999999974,1.0000000000000016
63,2.2737367544323206e-13,3.630253064647337e-14,0.6303081901826684,0.9999999999999967,1.000000000000003
65,1.1368683772161603e-13,3.126388037344441e-14,0.6302673501529208,0.999999999999995,1.000000000000003
67,1.1368683772161603e-13,3.0025733143593786e-14,0.6301758928051153,0.999999999999996,1.000000000000004
69,1.1368683772161603e-13,3.130507125667688e-14,0.6301582678240296,0.9999999999999977,1.000000000000004
71,1.1368683772161603e-13,2.7258320796148915e-14,0.630067058003807,0.9999999999999973,1.0000000000000069
73,1.4566126083082054e-13,2.7192859836024382e-14,0.6299694070576992,0.9999999999999951,1.0000000000000033
75,1.1368683772161603e-13,3.588240815588506e-14,0.5987204780141911,0.9999999999999937,1.0000000000000024
77,1.2789769243681803e-13,3.8030185061705364e-14,0.5435320155212753,0.9999999999999934,1.0000000000000098
79,2.2737367544323206e-13,4.261007861599335e-14,0.5407966761042651,0.999999999999995,1.0000000000000056
80,1.7053025658242404e-13,5.250244683452365e-14,0.5345725464630241,0.9999999999999942,1.0000000000000044
81,1.7053025658242404e-13,4.1053580288361343e-14,0.5341548432780759,0.9999999999999963,1.0000000000000093
83,1.4210854715202004e-13,4.426980870240263e-14,0.5339197205242135,0.9999999999999951,1.0000000000000067
85,1.7053025658242404e-13,4.7682119690548196e-14,0.5326428750640129,0.9999999999999958,1.0000000000000047
87,1.7053025658242404e-13,4.3053683223912106e-14,0.5070942682571812,0.9999999999999933,1.000000000000006
89,1.7053025658242404e-13,4.524470685747689e-14,0.5052961686536935,0.9999999999999949,1.0000000000000058
91,1.4210854715202004e-13,4.027547526255568e-14,0.5046162359796452,0.9999999999999962,1.000000000000006
93,1.7408297026122455e-13,4.4540237686843646e-14,0.5025843201670368,0.9999999999999952,1.0000000000000058
