source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,angle_error_deg,esprit_hankel_cond,nfev
0.25,0,7,equispaced,0.7394103310483897,0.8141289541398715,1.36171280439832,7,,,0
0.25,0,9,ESPRIT+VP,0.2564173598499951,0.24072391548845462,880272655300.3107,9,6.052904139838067,16873.77606174445,212
0.25,0,9,equispaced,0.672459879616365,0.6746329142991083,2.10561383463655,9,,,0
0.25,0,11,ESPRIT+VP,0.07814707183824221,0.02551135555351544,3611591134.227152,9,0.020143984975735958,81619.36085790182,30
0.25,0,11,equispaced,0.6035931583101559,0.41403002164943975,2.7329771677225065,11,,,0
0.25,1,1,ESPRIT+VP,0.7296843257972349,0.6194281490927465,1.0,1,2.417748257767523e-08,1.0,5
0.25,1,1,equispaced,0.7345069635007315,0.6241066660463956,1.0,1,,,0
0.25,1,3,ESPRIT+VP,0.7166148964322865,0.6524431521481372,1.0214143720999047,3,5.339417518045575e-06,71.00231529134429,56
0.25,1,3,equispaced,0.7282383660793408,0.6223081870196492,1.0108711119532556,3,,,0
0.25,1,5,ESPRIT+VP,0.659631976629387,0.6885100862335359,1.5242551335583294,5,5.232291054875363e-06,155.11969979372128,27
0.25,1,5,equispaced,0.7163159334966538,0.6517048447148323,1.2867560017150945,5,,,0
0.25,1,7,ESPRIT+VP,0.32659054026295464,0.31582186644881705,447008049637.587,7,0.0012173297266565178,155.8541427345461,83
0.25,1,7,equispaced,0.6646517385147951,0.6804188957968873,1.361712804398319,7,,,0
0.25,1,9,ESPRIT+VP,0.020129964152100797,0.00889589114704816,86339.07218075867,7,0.01795807154854007,380.42902940857823,37
0.25,1,9,equispaced,0.6413699190903682,0.5610858687018638,2.1056138346365527,9,,,0
0.25,1,11,ESPRIT+VP,0.009941457198026577,0.0044727263556933435,966809036541.7086,9,0.00027962798427191556,11245.286433233847,29
0.25,1,11,equispaced,0.5221742195350706,0.3370516478797039,2.732977167722508,11,,,0
0.25,2,1,ESPRIT+VP,0.6080495333614694,0.5112916930430205,1.0,1,4.0629448722950485e-08,1.0,3
0.25,2,1,equispaced,0.6085891368867777,0.5125415986512556,1.0,1,,,0
0.25,2,3,ESPRIT+VP,0.5999799444526889,0.5293884646072373,1.039525983064213,3,9.96909471692244e-07,5.2512724959944,17
0.25,2,3,equispaced,0.6076728129372432,0.5140221272001576,1.0108711119532559,3,,,0
0.25,2,5,ESPRIT+VP,0.24494626838638722,0.1892384079314143,7.2030371615458275,5,1.2413541642550492,5.265728786860374,31
0.25,2,5,equispaced,0.6019373716888133,0.5312829097024518,1.2867560017150945,5,,,0
0.25,2,7,ESPRIT+VP,0.07794984453600604,0.0712422269117297,66658.93500098107,6,19.076588451138427,7.737636558722659,428
0.25,2,7,equispaced,0.5635445013047243,0.564627408021559,1.36171280439832,7,,,0
0.25,2,9,ESPRIT+VP,0.005192827717747953,0.002412183498708485,3643408.503431291,7,0.00715165231597048,110.42826063895598,42
0.25,2,9,equispaced,0.55627044115248,0.4611306764461716,2.1056138346365563,9,,,0
0.25,2,11,ESPRIT+VP,0.0021234018694109846,0.00101173241773602,473517120.7755013,8,0.006423507623094842,5439.417220135131,28
0.25,2,11,equispaced,0.44871368161540565,0.2783539434987577,2.7329771677225043,11,,,0
0.25,3,1,ESPRIT+VP,0.5507418585806523,0.45692784454115926,1.0,1,3.714887867949387e-12,1.0,7
0.25,3,1,equispaced,0.5511249497165556,0.45669735321830457,1.0,1,,,0
0.25,3,3,ESPRIT+VP,0.5441487684330713,0.46848619906264555,1.0464606342878997,3,2.04437276593554e-07,1.6636824413518359,13
0.25,3,3,equispaced,0.550381427537222,0.4575801929718516,1.0108711119532559,3,,,0
0.25,3,5,ESPRIT+VP,0.1946195189435387,0.17091941889802711,12.41183841127024,5,2.8117721650359418e-06,1.6804716242058717,17
0.25,3,5,equispaced,0.5463259141594528,0.47007706399331006,1.2867560017150939,5,,,0
0.25,3,7,ESPRIT+VP,0.013414266058158578,0.008406785906848365,111282253446.09402,6,6.2554692437308566,4.703502956211756,53
0.25,3,7,equispaced,0.5135553301208569,0.5074074897474302,1.3617128043983204,7,,,0
0.25,3,9,ESPRIT+VP,0.0026233405235097664,0.001246970228031827,2288863.724520996,7,0.003695955400820813,117.65845499171633,38
0.25,3,9,equispaced,0.5109204405825598,0.4123081908393515,2.1056138346365527,9,,,0
