source_x,element,p,method,trace_error,volume_L2_error,gram_cond,rank,principal_angle_error_deg,half_aperture_deg
0.15,3,1,ESPRIT-centered fan,0.6002339446806596,0.49768123164207445,1.0,1,6.046259893899597e-09,0.0
0.15,3,1,equispaced,0.6002339446832231,0.4976812114637686,1.0,1,,
0.15,3,3,ESPRIT-centered fan,0.2496421361876681,0.15441403762038058,6.963259938007807,3,6.046259893899597e-09,14.155972154458494
0.15,3,3,equispaced,0.5993455892313011,0.4986796909243343,1.0108711119532559,3,,
0.15,3,5,ESPRIT-centered fan,0.09638760326395747,0.05895394912742998,286.92801535536285,5,6.046259893899597e-09,22.36817443427237
0.15,3,5,equispaced,0.5939193832622224,0.5143541816728036,1.2867560017150945,5,,
0.15,3,7,ESPRIT-centered fan,0.037063724208331844,0.022623678629033497,20832.917759880347,7,6.046259893899597e-09,28.36971076706138
0.15,3,7,equispaced,0.5566130784249629,0.5529229537919365,1.361712804398321,7,,
0.15,3,9,ESPRIT-centered fan,0.014332899436087423,0.008220149518199354,1776485.8461244819,9,6.046259893899597e-09,33.33496328900301
0.15,3,9,equispaced,0.5502227677373861,0.4492364233204709,2.1056138346365523,9,,
0.15,3,13,ESPRIT-centered fan,0.0022295706568435467,0.0010932452279615661,28319558949.416126,13,6.046259893899597e-09,40.593665274105895
0.15,3,13,equispaced,0.3215549928101047,0.07985027521951689,2.277983180040367,13,,
0.15,3,17,ESPRIT-centered fan,0.00037541997571544767,0.0001673082540086534,375089761644.1256,15,6.046259893899597e-09,44.49771258746972
0.15,3,17,equispaced,0.09965500577543572,0.005892484188451511,4.035797584445696,17,,
0.15,3,21,ESPRIT-centered fan,6.883488237285333e-05,2.8807594360930028e-05,53940452884.735085,15,6.046259893899597e-09,45.69402596123683
0.15,3,21,equispaced,0.019310507695252294,0.000675982384333235,86.27377086437808,21,,
0.15,4,1,ESPRIT-centered fan,0.6002339446806596,0.4976812316420739,1.0,1,6.046209005024693e-09,0.0
0.15,4,1,equispaced,0.6002339446832231,0.4976812114637678,1.0,1,,
0.15,4,3,ESPRIT-centered fan,0.249642136187668,0.1544140376202241,6.963259937403056,3,6.046209005024693e-09,14.155972154721859
0.15,4,3,equispaced,0.5993455892315995,0.4986796913181889,1.0108711119532559,3,,
0.15,4,5,ESPRIT-centered fan,0.09638760326395747,0.058953949127484556,286.9280152515807,5,6.046209005024693e-09,22.36817443517532
0.15,4,5,equispaced,0.5939193832622224,0.5143541816728029,1.286756001715094,5,,
0.15,4,7,ESPRIT-centered fan,0.03706372420833122,0.022623678703588807,20832.950535458796,7,6.046209005024693e-09,28.3697072619161
0.15,4,7,equispaced,0.5566130784249629,0.5529229537919356,1.36171280439832,7,,
0.15,4,9,ESPRIT-centered fan,0.014332899436086385,0.008220149584168371,1776488.3118623872,9,6.046209005024693e-09,33.33496054435265
0.15,4,9,equispaced,0.550222767737386,0.4492364233204674,2.105613834636553,9,,
0.15,4,13,ESPRIT-centered fan,0.002229570656841292,0.0010932455524448824,28321563965.97624,13,6.046209005024693e-09,40.593553265503424
0.15,4,13,equispaced,0.3215549928101045,0.07985027521951746,2.277983180040369,13,,
0.15,4,17,ESPRIT-centered fan,0.0003754199755999464,0.0001673082786820162,375095240236.8851,15,6.046209005024693e-09,44.497591846158464
0.15,4,17,equispaced,0.09965500577543557,0.005892484188451448,4.035797584445699,17,,
0.15,4,21,ESPRIT-centered fan,6.883484269418274e-05,2.8807374654633872e-05,53674216932.12498,15,6.046209005024693e-09,45.70256806392789
0.15,4,21,equispaced,0.019310507695254896,0.0006759823808614223,86.27377086437673,21,,
0.15,5,1,ESPRIT-centered fan,0.6425412931625143,0.5359887258420273,1.0,1,7.383212415362149e-09,0.0
0.15,5,1,equispaced,0.6425412931688205,0.5359886409345547,1.0,1,,
0.15,5,3,ESPRIT-centered fan,0.2879213162241489,0.17733080770552073,4.764450792267474,3,7.383212415362149e-09,15.36781688887902
0.15,5,3,equispaced,0.641499130868765,0.5374690070894829,1.0108711119532559,3,,
0.15,5,5,ESPRIT-centered fan,0.1205530805037012,0.0740029458032789,143.6614556042166,5,7.383212415362149e-09,24.20629613233037
0.15,5,5,equispaced,0.634502100738158,0.5571882881503615,1.286756001715095,5,,
